ano;Prediccion;province;energy type;;;;
31/12/2030;1132,09;British Columbia;Biomass / Geothermal;;;;
31/12/2031;1148,91;British Columbia;Biomass / Geothermal;;;;
31/12/2032;1165,82;British Columbia;Biomass / Geothermal;;;;
31/12/2033;1182,49;British Columbia;Biomass / Geothermal;;;;
31/12/2034;1198,62;British Columbia;Biomass / Geothermal;;;;
31/12/2035;1213,93;British Columbia;Biomass / Geothermal;;;;
31/12/2036;1228,79;British Columbia;Biomass / Geothermal;;;;
31/12/2037;1243,15;British Columbia;Biomass / Geothermal;;;;
31/12/2038;1256,95;British Columbia;Biomass / Geothermal;;;;
31/12/2039;1270,15;British Columbia;Biomass / Geothermal;;;;
31/12/2040;1282,75;British Columbia;Biomass / Geothermal;;;;
31/12/2041;1294,79;British Columbia;Biomass / Geothermal;;;;
31/12/2042;1306,25;British Columbia;Biomass / Geothermal;;;;
31/12/2043;1317,15;British Columbia;Biomass / Geothermal;;;;
31/12/2044;1327,48;British Columbia;Biomass / Geothermal;;;;
31/12/2045;1337,26;British Columbia;Biomass / Geothermal;;;;
31/12/2046;1346,50;British Columbia;Biomass / Geothermal;;;;
31/12/2047;1355,22;British Columbia;Biomass / Geothermal;;;;
31/12/2048;1363,44;British Columbia;Biomass / Geothermal;;;;
31/12/2049;1371,17;British Columbia;Biomass / Geothermal;;;;
31/12/2050;1378,42;British Columbia;Biomass / Geothermal;;;;
31/12/2051;1385,24;British Columbia;Biomass / Geothermal;;;;
31/12/2024;249,05;British Columbia;Solar;;;;
31/12/2025;169,43;British Columbia;Solar;;;;
31/12/2026;93,29;British Columbia;Solar;;;;
31/12/2027;23,58;British Columbia;Solar;;;;
31/12/2028;-30,35;British Columbia;Solar;;;;
31/12/2029;-60,68;British Columbia;Solar;;;;
31/12/2030;-66,81;British Columbia;Solar;;;;
31/12/2031;-52,00;British Columbia;Solar;;;;
31/12/2032;-21,41;British Columbia;Solar;;;;
31/12/2033;18,01;British Columbia;Solar;;;;
31/12/2034;58,93;British Columbia;Solar;;;;
31/12/2035;94,97;British Columbia;Solar;;;;
31/12/2036;121,37;British Columbia;Solar;;;;
31/12/2037;135,50;British Columbia;Solar;;;;
31/12/2038;136,96;British Columbia;Solar;;;;
31/12/2039;127,42;British Columbia;Solar;;;;
31/12/2040;109,97;British Columbia;Solar;;;;
31/12/2041;88,47;British Columbia;Solar;;;;
31/12/2042;66,84;British Columbia;Solar;;;;
31/12/2043;48,41;British Columbia;Solar;;;;
31/12/2044;35,51;British Columbia;Solar;;;;
31/12/2045;29,30;British Columbia;Solar;;;;
31/12/2046;29,72;British Columbia;Solar;;;;
31/12/2047;35,71;British Columbia;Solar;;;;
31/12/2048;45,52;British Columbia;Solar;;;;
31/12/2049;57,09;British Columbia;Solar;;;;
31/12/2050;68,41;British Columbia;Solar;;;;
31/12/2051;77,77;British Columbia;Solar;;;;
31/12/2024;0,00;British Columbia;Uranium;;;;
31/12/2025;0,00;British Columbia;Uranium;;;;
31/12/2026;0,00;British Columbia;Uranium;;;;
31/12/2027;0,00;British Columbia;Uranium;;;;
31/12/2028;0,00;British Columbia;Uranium;;;;
31/12/2029;0,00;British Columbia;Uranium;;;;
31/12/2030;0,00;British Columbia;Uranium;;;;
31/12/2031;0,00;British Columbia;Uranium;;;;
31/12/2032;0,00;British Columbia;Uranium;;;;
31/12/2033;0,00;British Columbia;Uranium;;;;
